iter	Passed	Remaining
0	0	35
1	0	36
2	1	34
3	1	33
4	1	32
5	2	32
6	2	32
7	2	31
8	3	31
9	3	30
10	3	30
11	4	30
12	4	30
13	4	29
14	5	29
15	5	29
16	5	28
17	6	28
18	6	28
19	6	27
20	7	27
21	7	27
22	8	26
23	8	26
24	8	25
25	9	25
26	9	25
27	9	24
28	9	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	11	21
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	13	18
43	14	17
44	14	17
45	14	17
46	14	16
47	15	16
48	15	16
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	21	8
73	22	7
74	22	7
75	22	7
76	22	6
77	23	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	5
83	24	4
84	24	4
85	25	4
86	25	3
87	25	3
88	25	3
89	26	2
90	26	2
91	26	2
92	27	2
93	27	1
94	27	1
95	27	1
96	28	0
97	28	0
98	28	0
99	28	0
