iter	Passed	Remaining
0	57	57637
1	58	29003
2	58	19476
3	58	14672
4	59	11799
5	59	9877
6	59	8498
7	60	7478
8	60	6675
9	60	6037
10	61	5511
11	61	5082
12	62	4710
13	62	4395
14	62	4120
15	63	3878
16	63	3663
17	63	3483
18	64	3312
19	64	3158
20	65	3032
21	65	2909
22	65	2792
23	66	2685
24	66	2587
25	66	2498
26	66	2413
27	67	2340
28	67	2267
29	68	2201
30	68	2139
31	68	2080
32	69	2024
33	69	1972
34	69	1922
35	70	1874
36	70	1829
37	70	1787
38	70	1746
39	71	1707
40	71	1673
41	71	1638
42	72	1606
43	72	1577
44	72	1548
45	73	1519
46	73	1491
47	73	1465
48	74	1441
49	74	1417
50	74	1394
51	75	1375
52	75	1354
53	76	1333
54	76	1313
55	76	1294
56	77	1275
57	77	1259
58	77	1241
59	78	1225
60	78	1208
61	78	1192
62	79	1177
63	79	1162
64	79	1148
65	80	1134
66	80	1121
67	80	1107
68	81	1094
69	81	1082
70	81	1069
71	82	1058
72	82	1046
73	82	1035
74	83	1026
75	83	1017
76	84	1008
77	84	998
78	84	988
79	85	979
80	85	969
81	85	959
82	85	948
83	86	940
84	86	932
85	86	923
86	87	915
87	87	906
88	87	900
89	88	892
90	88	884
91	88	876
92	89	869
93	89	861
94	89	854
95	89	847
96	90	840
97	90	834
98	90	828
99	91	822
100	91	816
101	92	811
102	92	805
103	92	799
104	93	794
105	93	788
106	93	782
107	94	776
108	94	771
109	94	767
110	95	762
111	95	757
112	96	753
113	96	749
114	96	745
115	97	740
116	97	735
117	97	731
118	98	727
119	98	722
120	98	717
121	99	712
122	99	708
123	99	704
124	100	700
125	100	696
126	100	691
127	100	687
128	101	683
129	101	679
130	101	675
131	102	671
132	102	668
133	102	665
134	103	661
135	103	658
136	103	654
137	104	650
138	104	647
139	104	644
140	105	641
141	105	636
142	105	633
143	106	631
144	106	629
145	107	626
146	107	623
147	107	621
148	108	618
149	108	616
150	108	612
151	109	609
152	109	606
153	109	603
154	110	601
155	110	598
156	110	595
157	111	592
158	111	590
159	111	587
160	112	584
161	112	582
162	112	579
163	113	576
164	113	574
165	113	571
166	114	569
167	114	567
168	114	564
169	115	562
170	115	560
171	116	558
172	116	556
173	116	554
174	117	552
175	117	550
176	117	548
177	118	546
178	118	544
179	119	542
180	119	540
181	119	538
182	120	536
183	120	534
184	120	532
185	121	531
186	121	529
187	122	527
188	122	525
189	122	523
190	123	521
191	123	519
192	124	518
193	124	516
194	124	514
195	125	512
196	125	511
197	125	509
198	126	507
199	126	505
200	126	504
201	127	502
202	127	500
203	127	498
204	128	497
205	128	496
206	129	494
207	129	492
208	129	491
209	130	489
210	130	487
211	130	486
212	131	484
213	131	483
214	131	481
215	132	479
216	132	478
217	132	476
218	133	475
219	133	474
220	134	472
221	134	471
222	134	470
223	135	468
224	135	467
225	136	466
226	136	465
227	136	463
228	137	462
229	137	460
230	137	459
231	138	457
232	138	456
233	138	454
234	139	453
235	139	451
236	139	450
237	140	449
238	140	447
239	141	446
